Candidate,Folder_Name,Full_Path,Missing_Seeds,variant,constraint_type,halfspace_variant,metric,mean,std,count
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,avg_time,1.168411838244169,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,avg_time_std,3.3957988787913784e-05,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,collision_free_completed,0.0,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,collision_free_completed_std,0.0,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_steps,62.5,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_steps_std,2.5,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_success,1.0,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_success_and_constraints,0.0,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_success_and_constraints_std,0.0,,1
1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,"[7, 8, 9, 10]",diffuser,halfspace,top-right-hard,n_success_std,0.0,,1
