Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
1,54,K10_thres0_mpc1_n2,100.0,,0.28684797936889805,,6.313093670241889,
2,55,K20_thres0.5_mpc1_n2,100.0,,0.4813279461151171,,10.871600706516102,
3,56,K20_thres0_mpc1_n2,100.0,,0.6102314833668363,,11.177023475700292,
4,57,K20_thres0_mpc4_n2,100.0,,1.7424579917620433,,20.417026924489544,
5,69,K20_thres1_mpc4_n2,100.0,,1.0731747209232654,,31.11246867114023,
6,64,K10_thres1_mpc4_n2,93.33333333333333,,0.5232018468561842,,22.64714873859378,
7,33,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,89.58333333333334,,0.03083840313698713,,6.08295265626646,20260730_211256
8,25,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,88.8888888888889,,0.014268661165544488,,1.3278862333609913,20260727_193701
9,70,K2_thres0.5_mpc1_n2_msgmpc1,88.88888888888889,,0.03885123588207992,,3.201265025623041,
10,61,K20_thres0.5_mpc4_n2,86.66666666666667,,1.365825621071549,,101.17666606271322,
11,47,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgmpc1,86.25,,0.018934395370754323,,2.369627387505317,20260827_163757
12,22,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,83.33333333333334,,0.039723085714764975,,1.009051702288914,20260724_021953
13,66,K20_thres0.1_mpc4_n2,83.33333333333334,,0.3799996357706823,,64.72876629675872,
14,67,K20_thres0.5_mpc4_n2,83.33333333333334,,0.8250568787407303,,20.89240307637432,
15,63,K10_thres0.5_mpc4_n2_msgthrmatch,83.33333333333333,,0.2970179469487408,,16.82595787340282,
16,68,K20_thres0.5_mpc4_n2_msgthrmatch,83.33333333333333,,0.6262472005455543,,18.11449321086256,
17,139,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,82.08333333333333,,0.31577001286362394,,17.474699154014438,20260812_152528
18,40,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,81.77083333333334,,0.18981776304274406,,5.66175582489381,20260801_143923
19,48,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,81.25,,0.17605807678748034,,6.411415579278546,20260812_122644
20,27,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555557,,0.1984566782984157,,0.9340818835697287,20260727_200325
21,21,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555554,,0.024167145563037465,,0.9780779949990654,20260724_021135
22,114,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,80.55555555555554,,0.03847298658473972,,1.049503709052601,20260722_152316
23,177,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,,0.8990273001022899,,1.7082914932769022,20260508_194433
24,128,H8_K10_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,79.16666666666667,,0.3901311928865666,,12.847519859341787,20260801_004351
25,137,H16_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,79.16666666666666,,1.1107547578439907,,2.130113179762042,20260817_064356
26,41,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.75,,0.2960146451906085,,9.314656743434615,20260812_143907
27,42,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.75,,0.01848276700841153,,3.1395553992906806,20260812_100842
28,38,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.64583333333333,,0.018539600866773427,,2.659636496542209,20260801_123828
29,144,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,78.33333333333333,,0.1800932252854495,,6.764415062826909,20260812_125439
30,37,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.125,,0.32016304716017796,,12.09413379753123,20260801_164120
31,143,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgmpc1,78.125,,0.024172290080019705,,2.8908749278255983,20260827_171150
32,24,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777779,,0.37026910573209865,,0.9524304601217846,20260727_203138
33,23,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777777,,0.20806521402712552,,1.488780379634871,20260724_023649
34,65,K20_thres0.05_mpc4_n2,77.77777777777777,,0.3326994696373055,,62.1417286478446,
35,111,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,77.77777777777777,,0.02810464840237231,,0.8270354601109431,20260718_205600
36,43,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msg20trials,77.41666666666667,,0.01915341000911402,,14.092805927444541,20260815_230735
37,141,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,77.08333333333334,,0.7698916864862939,,28.743679133864468,20260812_203342
38,71,K2_thres1_mpc1_n2_msgmpc1,76.38888888888889,,0.05676211031333822,,3.1152045684724228,
39,154,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,76.25,,0.032786756498814545,,1.7154803638622618,20260811_211436
40,44,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,76.25,,0.7431600612140961,,37.646154827096176,20260812_193016
41,2,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,75.0,,9.212572100576624,,0.5168448687485785,20260620_235932
42,5,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,75.0,,4.03206348055337,,2.197861748206062,20260630_134307
43,6,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,75.0,,0.4862641585061558,,1.0712038919393247,20260621_035912
44,17,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,,0.5175123132645304,,1.9919415286207243,20260509_091817
45,19,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,,0.5201762223903509,,1.9920117916359223,20260509_153238
46,59,K5_thres0_mpc1_n2,75.0,,0.14944996664298377,,10.004410522296086,
47,108,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,75.0,,0.037101893198280084,,0.7652321781791803,20260714_225255
48,1,H8_K2_Meuler_T0.5_A0.5_Dmix_visual_avoiding.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,73.88888888888889,,0.05973089677538521,,80.1224584127865,20260822_204705
49,152,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,73.66071428571429,,0.793248005638002,,65.32323219748803,20260815_122056
50,148,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,73.19345238095238,,0.3347415610534425,,31.458635519096177,20260814_204932
51,120,H8_K10_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.3814818669001116,,12.895373285823645,20260730_164148
52,133,H16_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.07581172407264339,,1.4036967433728413,20260817_053516
53,135,H16_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.08858814758687365,,1.4788575554716918,20260817_054642
54,153,"H8_K2_Meuler_T0,5_Dflow_matcher_v3_meanflow.models.MeanFlowODE",72.91666666666666,,0.04474802484667314,,3.4529216656971946,20260806_211022
55,155,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,72.79166666666667,,0.03289031774493869,,9.983342236894476,20260813_212322
56,151,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,72.375,,0.02394546346851439,,10.03914319636815,20260813_202147
57,89,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,72.22222222222223,,0.4268377768013521,,0.8536290085689694,20260713_145743
58,125,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.22222222222221,,0.03789926976822409,,0.739261300204609,20260724_014600
59,174,H8_K5_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,72.22222222222221,,0.11112404904204988,,1.3088817645321729,20260716_134138
60,150,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.08333333333333,,0.024215718215696652,,2.1598827124805946,20260811_210631
61,161,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,71.83333333333333,,0.19197592271708563,,25.269099828745965,20260814_112051
62,175,H8_K5_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,71.22222222222221,,0.10557953375138866,,1.9712381874534823,20260819_173831
63,11,H8_K20_T0.5_Dmodels.GaussianDiffusion_msg20trials,70.84848484848484,,0.5195470640029928,,2.216125507835968,20260818_092633
64,36,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,70.83333333333334,,0.1970046923811526,,8.49503580663513,20260730_215118
65,134,H16_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,70.83333333333334,,0.009854107198733588,,1.1767663341211156,20260817_145407
66,160,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,70.83333333333334,,0.1879745639981667,,4.945078273909814,20260811_212930
67,172,H8_K20_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,70.81196581196582,,0.4285318598127959,,1.7868857917458048,20260825_131217
68,176,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,,0.18355172235159142,,2.323974764364599,
69,45,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,69.58333333333333,,0.025453330886224465,,3.298327388684899,20260812_105551
70,13,H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444446,,1.8759087539979793,,2.613281273094289,20260804_234416
71,179,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,,0.49301990236978027,,2.888529208032919,20260507_185238
72,14,X_H8_K20_T0.05_Dmodels.GaussianDiffusion,69.44444444444443,,0.523817799386293,,1.3497737112207657,20260804_135435
73,15,X_H8_K20_T0.1_Dmodels.GaussianDiffusion,69.44444444444443,,0.518585280711196,,1.3497419461750748,20260804_103242
74,16,X_H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444443,,0.5256820730269127,,1.3498349258742683,20260804_162821
75,170,H8_K20_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,69.44444444444443,,0.18968738496934814,,1.027297157752894,20260804_084816
76,173,H8_K2_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,69.11111111111111,,0.028226035733612154,,1.64190914570132,20260819_072031
77,32,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,68.75,,0.39325984320881335,,13.113492093527126,20260730_223308
78,132,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,68.75,,0.2217592003101035,,6.079684982126672,20260731_235932
79,147,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,68.33333333333333,,0.3286396809461207,,4.362009263164412,20260811_215412
80,178,H8_K1_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.018548036005825972,,1.4598089866036768,20260520_210946
81,181,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.18497272888690708,,2.049428120359858,20260507_033255
82,171,H8_K20_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,67.77777777777777,,0.5251500647330564,,2.231446526375333,20260703_011554
83,180,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,,0.1503797588533413,,2.2035084806674634,
84,156,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgmpc1,66.66666666666667,,0.027880178300167296,,1.5741870255989028,20260823_222807
85,18,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,,0.5470724177739555,,1.9240581088997533,20260510_102451
86,58,K2_thres0_mpc1_n2,66.66666666666666,,0.052136827166281124,,3.521114002321926,
87,75,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.4959228520052386,,1.5801486856638232,20260616_180446
88,76,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.060289406941576064,,0.9066474575120341,20260616_141001
89,106,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.387435829152581,,1.1157248993535167,20260715_114457
90,115,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.03774597146579633,,1.8188397576865314,20260721_161037
91,122,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.9276271775321916,,41.09577882034185,20260730_174107
92,124,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.21638348834870308,,5.958607689194609,20260730_162243
93,166,H8_K10_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09387530292997691,,1.1147375342751278,20260803_231042
94,167,H8_K10_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09415227907446216,,1.1147343704807267,20260803_221426
95,168,H8_K1_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,66.44444444444444,,0.020432224460193948,,1.4477645227500782,20260819_012337
96,39,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,65.83333333333334,,0.03336949943954555,,24.313146721003854,20260801_131902
97,51,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,64.58333333333334,,0.0836441704617899,,14.800622238874167,20260808_223953
98,158,H8_K5_Meuler_T0.5_A0.1_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.17530143528756936,,3.527820558979812,20260811_224859
99,159,H8_K5_Meuler_T0.5_A0.25_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.18187616828660425,,3.9557965060699556,20260811_230534
100,162,H8_K5_Meuler_T0.5_A0_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.17394246104314892,,3.5278147769990142,20260811_224853
101,130,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333333,,0.9243913271219681,,41.10902431819271,20260801_020939
102,138,H16_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,64.58333333333333,,0.1644092303035146,,1.2492704928178815,20260817_151158
103,20,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,63.88888888888889,,0.37883236372382867,,1.7255338258154729,20260724_030710
104,90,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.6384359424032199,,1.9595846239101324,20260617_121218
105,107,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.0317856329120872,,1.076349751568058,20260716_214045
106,8,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,,0.29867651375087007,,1.8607837442932074,20260506_034806
107,46,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msg20trials,63.041666666666664,,0.025101535359020183,,12.023511215618047,20260816_065129
108,34,H8_K20_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,62.5,,0.9365117654010434,,32.135258568320715,20260730_235852
109,3,(old_no_mpc_traj)H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,61.61616161616163,,8.094547430308419,,2.0408155975726667,20260625_052023
110,110,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.111111111111114,,0.3766862058524654,,1.693321451337609,20260718_212748
111,109,H8_K50_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.11111111111111,,2.826400634090572,,0.8651696003916114,20260716_004756
112,169,H8_K20_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,61.11111111111111,,0.17855297133387338,,0.9386060930348551,20260804_081544
113,136,H16_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,60.41666666666667,,0.011643623799337456,,2.012495726006993,20260817_150007
114,145,H8_K10_Meuler_T0.5_A0.1_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,60.416666666666664,,0.29091963996111414,,5.00511495688925,20260811_232700
115,149,H8_K10_Meuler_T0.5_A0_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,60.416666666666664,,0.29037995296890673,,5.005109774540849,20260811_230955
116,142,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,58.75,,0.03165389262267613,,3.9004125424018175,20260812_111908
117,12,H8_K20_T0.5_Dmodels.GaussianDiffusion_msgmpc1,58.333333333333336,,0.2760416532452741,,2.0851842083456424,20260827_165120
118,53,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,58.333333333333336,,0.17482318375552167,,1.9677301933681186,20260521_202300
119,77,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,58.333333333333336,,0.4550292989258491,,1.8136583153606847,20260614_213229
120,146,H8_K10_Meuler_T0.5_A0.25_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,58.333333333333336,,0.3017175146124922,,5.909167751747037,20260811_233457
121,7,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,56.666666666666664,,0.5660697696761865,,1.9548480255231746,20260624_100850
122,140,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.666666666666664,,0.034567764797657996,,5.098529634023641,20260812_102549
123,117,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.9445911593508576,,33.03002028211598,20260730_130657
124,119,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.2199173709299061,,10.599177056372955,20260730_115010
125,112,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555557,,0.038863297858102504,,0.9637674674339041,20260718_170803
126,83,H8_K20_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555556,,1.109663479038443,,1.7573098243613472,20260601_154815
127,131,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,54.166666666666664,,0.04040962251127084,,22.528278083265356,20260802_000208
128,78,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,52.77777777777778,,0.48172675408790183,,1.8614680102926522,20260617_073831
129,126,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.000000000000014,,0.02451764694221985,,0.6840551659271963,20260727_215507
130,4,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,50.0,,0.8241979767380122,,1.8683474537588556,20260715_043315
131,116,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.04918694402494177,,5.52964758071691,20260730_113339
132,129,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.05227293880004807,,4.909197245639004,20260731_231841
133,88,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,49.99999999999999,,0.5212479080327758,,1.4857273369094053,20260629_072523
134,118,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.91666666666667,,0.04295820899775732,,4.3551094043976,20260728_234845
135,121,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.916666666666664,,0.052037277107281184,,4.836789667504513,20260730_155904
136,82,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.22222222222223,,0.4277725139594925,,1.9818544478506035,20260602_211437
