Candidate,FolderName,scene,engine,K,split,geo,variant,tightened,mask,n_success,success_relaxed,n_success_and_constraints,n_success_relaxed_and_constraints,collision_free_completed,phys_safe,goal_reached,goal_dist,n_violations,total_violations,n_steps,steps_to_goal,avg_time,avg_time_ms,fm_ms,proj_ms,total_ms_p95,over_budget_frac,track_err_mean,phys_contact_frac,phys_min_z,n_rollouts
2,corridor|K20|Gen11,corridor,,20,test,none,diffuser,False,all,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.09398993206089533,93.98993206089533,93.98993206089533,0.0,99.60766082629561,1.0,0.5718540238101079,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,diffuser,False,proj_valid,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.09398993206089533,93.98993206089533,93.98993206089533,0.0,99.60766082629561,1.0,0.5718540238101079,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-r,False,all,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.13831870111404546,138.31870111404547,90.31312325766228,48.00557785638317,143.933071102947,1.0,0.5369235764796177,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-r,False,proj_valid,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.13831870111404546,138.31870111404547,90.31312325766228,48.00557785638317,143.933071102947,1.0,0.5369235764796177,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-c,False,all,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.1400782841326161,140.07828413261612,91.49183509479639,48.58644903781974,147.02941780909896,1.0,0.5245768593799407,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-c,False,proj_valid,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.1400782841326161,140.07828413261612,91.49183509479639,48.58644903781974,147.02941780909896,1.0,0.5245768593799407,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-t,False,all,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.13912630355816777,139.12630355816776,90.90699133152302,48.21931222664475,144.17086267843843,1.0,0.5259458844417967,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,dpcc-t,False,proj_valid,0.2,,0.2,,,,,,0.0,0.0,256.4,,0.13912630355816777,139.12630355816776,90.90699133152302,48.21931222664475,144.17086267843843,1.0,0.5259458844417967,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,gradient,False,all,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.09989996347507249,99.8999634750725,99.8999634750725,0.0,107.33724810183048,1.0,4.143515668630508,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,gradient,False,proj_valid,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.09989996347507249,99.8999634750725,99.8999634750725,0.0,107.33724810183048,1.0,4.143515668630508,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,post_processing,False,all,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.10627447451273335,106.27447451273333,92.66568428392004,13.6087902288133,126.78167531266809,1.0,2.135459703571354,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,post_processing,False,proj_valid,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.10627447451273335,106.27447451273333,92.66568428392004,13.6087902288133,126.78167531266809,1.0,2.135459703571354,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,model_free,False,all,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.12309142820613199,123.09142820613201,92.423893716708,30.667534489424007,153.0406143516302,1.0,44.939920475950565,,,5
2,corridor|K20|Gen11,corridor,,20,test,none,model_free,False,proj_valid,0.0,,0.0,,,,,,0.0,0.0,256.4,,0.12309142820613199,123.09142820613201,92.423893716708,30.667534489424007,153.0406143516302,1.0,44.939920475950565,,,5
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,False,all,0.0,0.1,0.0,0.0,0.3,0.8,0.0,0.8539768137015177,30.3,11.960221602136345,259.5,,0.08989746583926085,89.89746583926085,89.89746583926085,0.0,96.18924221023917,1.0,1.3672926291170198,0.010994959451004996,0.6451602925879579,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,False,proj_valid,0.0,0.1,0.0,0.0,0.3,0.8,0.0,0.8539768137015177,30.3,11.960221602136345,259.5,,0.08989746583926085,89.89746583926085,89.89746583926085,0.0,96.18924221023917,1.0,1.3672926291170198,0.010994959451004996,0.6451602925879579,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-r,False,all,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.5729510044763119,0.0,0.0,259.5,286.6666666666667,0.25132909626973604,251.32909626973606,90.07795920549184,161.25113706424423,323.6748413275927,1.0,0.5110871539912252,0.0,1.0645933321349001,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-r,False,proj_valid,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.5729510044763119,0.0,0.0,259.5,286.6666666666667,0.25132909626973604,251.32909626973606,90.07795920549184,161.25113706424423,323.6748413275927,1.0,0.5110871539912252,0.0,1.0645933321349001,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-r-tightened,True,all,0.4,0.4,0.0,0.0,0.6,1.0,0.4,0.642469099000133,4.8,0.07075092631578409,259.5,278.5,0.29577736177889913,295.77736177889915,90.47118915024099,205.30617262865812,610.9499347023666,1.0,0.5303241610182151,0.0006110049117738648,1.0407192925477597,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-r-tightened,True,proj_valid,0.4,0.4,0.0,0.0,0.6,1.0,0.4,0.642469099000133,4.8,0.07075092631578409,259.5,278.5,0.29577736177889913,295.77736177889915,90.47118915024099,205.30617262865812,610.9499347023666,1.0,0.5303241610182151,0.0006110049117738648,1.0407192925477597,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,False,all,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.5925341593899341,0.0,0.0,259.5,286.6666666666667,0.25076438891529274,250.76438891529278,90.5849722109471,160.17941670434567,322.9308312293142,1.0,0.5087184201346807,0.0,1.0592808028744174,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,False,proj_valid,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.5925341593899341,0.0,0.0,259.5,286.6666666666667,0.25076438891529274,250.76438891529278,90.5849722109471,160.17941670434567,322.9308312293142,1.0,0.5087184201346807,0.0,1.0592808028744174,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c-tightened,True,all,0.0,0.2,0.0,0.0,0.6,0.8,0.0,1.018794201649689,23.0,6.641335518547562,259.5,,0.3525392516318503,352.53925163185033,90.51790965004123,262.0213419818091,592.4085076432673,1.0,2.6026330692356416,0.04469681037776729,0.8075632164919277,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c-tightened,True,proj_valid,0.0,0.2,0.0,0.0,0.6,0.8,0.0,1.018794201649689,23.0,6.641335518547562,259.5,,0.3525392516318503,352.53925163185033,90.51790965004123,262.0213419818091,592.4085076432673,1.0,2.6026330692356416,0.04469681037776729,0.8075632164919277,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-t,False,all,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.567828932000047,0.0,0.0,259.5,286.6666666666667,0.2509807395911984,250.9807395911984,90.40392673019123,160.57681286100717,322.62319868430495,1.0,0.5108869848915554,0.0,1.0627971380060894,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-t,False,proj_valid,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.567828932000047,0.0,0.0,259.5,286.6666666666667,0.2509807395911984,250.9807395911984,90.40392673019123,160.57681286100717,322.62319868430495,1.0,0.5108869848915554,0.0,1.0627971380060894,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-t-tightened,True,all,0.4,0.4,0.0,0.0,0.6,1.0,0.4,0.682682697628884,7.3,0.14041522416790492,259.5,278.5,0.3976880368086529,397.6880368086529,90.06129581079094,307.62674099786193,716.3303527422248,1.0,0.5271839558054722,0.0009690973012720369,1.0510319581390686,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-t-tightened,True,proj_valid,0.4,0.4,0.0,0.0,0.6,1.0,0.4,0.682682697628884,7.3,0.14041522416790492,259.5,278.5,0.3976880368086529,397.6880368086529,90.06129581079094,307.62674099786193,716.3303527422248,1.0,0.5271839558054722,0.0009690973012720369,1.0510319581390686,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,gradient,False,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705693002689011,236.7,223.93297379936476,259.5,,0.09892746708569812,98.92746708569811,98.92746708569811,0.0,106.52589584700763,1.0,4.1259501577335,0.268630619304299,0.05547787349224187,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,gradient,False,proj_valid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705693002689011,236.7,223.93297379936476,259.5,,0.09892746708569812,98.92746708569811,98.92746708569811,0.0,106.52589584700763,1.0,4.1259501577335,0.268630619304299,0.05547787349224187,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,gradient-tightened,True,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.312752916780969,244.8,288.4964654484369,259.5,,0.09867375369745761,98.67375369745761,98.67375369745761,0.0,106.29997700452805,1.0,4.616931789676296,0.2494082190809551,0.06514288853928317,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,gradient-tightened,True,proj_valid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.312752916780969,244.8,288.4964654484369,259.5,,0.09867375369745761,98.67375369745761,98.67375369745761,0.0,106.29997700452805,1.0,4.616931789676296,0.2494082190809551,0.06514288853928317,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,post_processing,False,all,0.2,0.2,0.2,0.2,1.0,1.0,0.2,0.6120126567984724,0.0,0.0,259.5,294.0,0.11501101601940233,115.01101601940233,87.4940619736098,27.516954045792524,148.04611641913652,1.0,0.5192616975781964,0.0,1.0391432135818408,10
7,corridor|K20|Gen11,corridor,,20,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,post_processing,False,proj_valid,0.2,0.2,0.2,0.2,1.0,1.0,0.2,0.6120126567984724,0.0,0.0,259.5,294.0,0.11501101601940233,115.01101601940233,87.4940619736098,27.516954045792524,148.04611641913652,1.0,0.5192616975781964,0.0,1.0391432135818408,10
