Candidate,FolderName,FullPath,seed,split,geo,variant,variant_base,tightened,scene,engine,K,mpc_batch,controller,threshold,backbone,generation,path_K,n_trials,goal_radius,epoch,projection,record,device,max_episode_length,flow_steps
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,diffuser_anchorP,diffuser,diffuser,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,dpcc-t_anchorP,dpcc-t,dpcc-t,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,gradient_anchorP,gradient,gradient,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,model_free_anchorP,model_free,model_free,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,6,test,post_processing_anchorP,post_processing,post_processing,False,corridor,,,,,,,Gen11,,10.0,0.3,latest,fm_only,none,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,diffuser,diffuser,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,dpcc-c,dpcc-c,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,dpcc-r,dpcc-r,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,dpcc-t,dpcc-t,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,gradient,gradient,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,model_free,model_free,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,6,test,none,post_processing,post_processing,False,corridor,,20.0,4.0,pid_stopgo,0.5,,Gen11,20.0,5.0,0.3,latest,fm_only,gif,cuda,,
3,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E6)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,6,test,none,fm_only,fm_only,False,corridor,,,,,,,Gen11,,20.0,,latest,fm_only,none,cuda,,
