scene,engine,geo,variant,split,K,metric,mean,std,min,max,n,mask,n_candidates,candidates,n_seeds
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,avg_time,0.00913261529904875,0.00021716927927075568,0.008986517086135919,0.009729112258576082,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,avg_time_ms,9.132615299048748,0.2171692792707551,8.986517086135919,9.729112258576082,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,budget_ms,30.3,0.0,30.3,30.3,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,collision_free_completed,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,constraint_collision_free,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,constraint_n_violations,367.7,5.271516754112508,361.0,375.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,constraint_total_violations,15929.19120277866,7074.388297131424,8752.797208197444,31842.590999595683,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,diagnostics_found,1.0,0.0,1.0,1.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,fm_ms,9.132615299048748,0.2171692792707551,8.986517086135919,9.729112258576082,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,fm_ms_p95,9.23460517078638,0.24776265212132662,9.026170242577791,9.595118463039398,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,goal_crossed_line,0.5,0.5270462766947299,0.0,1.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,goal_dist,60.658916371465544,40.08151391093377,13.562005553844457,146.2794303783507,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,goal_reached,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,max_episode_length,396.0,0.0,396.0,396.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_fm_steps,396.0,0.0,396.0,396.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_proj_steps,396.0,0.0,396.0,396.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_steps,396.0,0.0,396.0,396.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_success,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_success_and_constraints,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_success_relaxed_and_constraints,0.0,0.0,0.0,0.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,n_violations,367.7,5.271516754112508,361.0,375.0,10,all,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,over_budget_frac,0.0002525252525252525,0.0007985549646889847,0.0,0.0025252525252525255,10,all,1,33,1
