Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
1,9,empty|K20|Gen11,empty,,20,0.0,20.0,100.0,0.0,100.0,,,,117.3891555241828,92.2148035307057,25.174351993477124,1.0,0.0,,,0.13164792296539168,FRONT,1,,20260703_093241
2,34,corridor|fm|K20,corridor,fm,20,0.0,29.09090909090909,63.91304347826087,45.94317193293232,64.34782608695653,65.21739130434783,63.91304347826087,65.21739130434783,459.98076368308324,185.6915345125434,274.28922917054,1.0,0.0,4.088771173585625,269.38,54.54394732536205,,1,,20260819_232044
3,31,corridor|af|K5|bbsit,corridor,af,5,0.0,8.521739130434783,51.73913043478261,41.352374824085764,63.47826086956522,71.73913043478261,51.73913043478261,71.73913043478261,166.20719554415984,33.04215434045806,133.16504120370183,0.9579505895391255,0.0,1.2539694249225553,271.8924036281179,1.5593214026574127,,1,,20260823_185936
4,32,corridor|fm|K10,corridor,fm,10,0.0,16.52173913043478,51.73913043478261,42.4931886012891,61.73913043478261,63.04347826086957,51.73913043478261,63.04347826086957,259.70138257727103,92.56133525361787,167.14004732365314,1.0,0.0,2.510865826316466,272.03506944444445,37.752054283406785,,1,,20260819_212538
5,36,corridor|fm|K5,corridor,fm,5,0.0,8.521739130434783,40.0,40.10854836782195,59.130434782608695,59.56521739130435,40.0,59.56521739130435,183.67296656549368,48.28200386894574,135.39096269654792,1.0,0.0,2.3482875970619683,271.4058779761905,37.05840152009223,,1,,20260819_193352
6,37,corridor|mf|K10|bbunet|dp0.5,corridor,mf,10,0.0,16.52173913043478,32.17391304347826,36.110521378862806,44.34782608695652,47.39130434782609,32.17391304347826,47.39130434782609,336.4222950134895,97.30796306951925,239.11433194397026,1.0,0.0,10.81244145326597,269.3007407407407,37.199180816529,,1,,20260820_171218
7,39,corridor|mf|K20|bbunet|dp0.5,corridor,mf,20,0.0,20.0,29.5,32.47691487810996,42.5,45.0,29.5,45.0,421.57900133220585,179.0230631047689,242.5559382274369,1.0,0.0,13.322067957142618,273.85303030303027,64.60117526870987,,1,,20260820_220831
8,30,corridor|af|K2|bbsit,corridor,af,2,1.0,3.3043478260869565,26.956521739130434,29.10771339707139,39.56521739130434,50.86956521739131,26.956521739130434,51.30434782608696,92.63405083333953,13.235698082626937,79.39835275071259,0.4323198691511127,0.0,1.9593503980777252,281.8965367965368,3.361075541139087,FRONT,1,,20260823_165703
9,41,corridor|mf|K5|bbunet|dp0.5,corridor,mf,5,0.0,8.521739130434783,23.913043478260864,28.397662248361616,36.52173913043478,38.260869565217384,23.913043478260864,38.260869565217384,241.0502120529601,49.21762892332449,191.83258312963557,1.0,0.0,12.605747857674594,271.4851322751323,42.693081974670974,,1,,20260820_164530
10,29,corridor|af|K1|bbsit,corridor,af,1,1.0,1.9130434782608696,14.782608695652174,15.28556159238865,25.217391304347824,26.086956521739125,14.782608695652174,27.826086956521735,135.36654555245713,7.6485629696403405,127.71798258281682,0.4652168970080179,0.0,4.252324087744643,271.8368253968254,4.940641779870142,,1,,20260823_133049
11,40,corridor|mf|K2|bbunet|dp0.5,corridor,mf,2,1.0,3.3043478260869565,13.043478260869568,20.309514285437675,17.82608695652174,18.26086956521739,13.043478260869568,18.26086956521739,251.62635594410932,19.849426744182434,231.776929199927,0.7792808182485775,0.0,17.226868661274242,273.14375,59.4346227707416,,1,,20260820_104904
12,38,corridor|mf|K1|bbunet|dp0.5,corridor,mf,1,1.0,1.9130434782608696,10.434782608695654,20.103700907298936,17.391304347826082,17.82608695652174,10.434782608695654,18.260869565217387,233.59245633386487,11.04276505101644,222.54969128284839,0.7117509507407758,0.0,17.516003919093087,269.8429487179487,61.26803697669607,,1,,20260820_104902
13,7,corridor|K20|Gen11,corridor,,20,0.0,20.0,9.411764705882353,12.588785034725113,17.647058823529413,19.41176470588235,50.0,65.88235294117646,200.1754710479318,90.8054872905254,109.36998375740642,1.0,0.0,2.0140039232170084,283.26666666666665,12.208783480788059,,1,,20260708_161114
