Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,run_tag,backbone,generation
1,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,20260628_142052,20260628_141228,2,6:20260628_142052,0.0,0.0,0.0,253.35142393690043,86.04628934033728,167.3051345965632,,,,,7,7,1,,corridor,,,,,,,,Gen11
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260702_053207,20260702_053207,1,6:20260702_053207,0.08571428571428573,0.09897433186107871,0.15000000000000002,120.11129815138038,93.0987747457968,27.01252340558357,20.0,,,,7,1,1,,corridor,,20.0,4.0,pid_stopgo,0.5,,,Gen11
3,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E6)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,,,,85.36316920400158,,,,,,1,1,1,,corridor,,,,,,,,Gen11
4,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U1)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,0.0,0.0,,130.4766541341766,,,,,,4,1,1,,corridor,,,,,,,,Gen11
5,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,0.0,0.0,194.53843242125478,86.49825267473574,108.04017974651903,,,,,13,1,1,,corridor,,,,,,,,Gen11
6,corridor|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U4_fix3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,20260628_100859,20260628_100859,1,6:20260628_100859,0.0,0.0,0.0,264.5599345030029,86.25137026291694,178.30856424008593,,,,,9,9,1,,corridor,,,,,,,,Gen11
7,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260708_161114,20260708_161114,1,6:20260708_161114,0.09411764705882353,0.12588785034725114,0.12857142857142856,200.1754710479318,90.8054872905254,109.36998375740642,20.0,0.5,0.6588235294117647,2.0140039232170084,17,1,1,,corridor,,20.0,4.0,pid_stopgo,0.5,,,Gen11
8,empty|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,20260628_191449,20260628_191449,1,6:20260628_191449,0.8571428571428571,0.3499271061118826,1.0,154.44229529043545,99.5089190432516,54.93337624718383,,,,,7,7,1,,empty,,,,,,,,Gen11
9,empty|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260703_093241,20260703_093241,1,6:20260703_093241,1.0,0.0,1.0,117.3891555241828,92.2148035307057,25.174351993477124,20.0,,,,7,1,1,,empty,,20.0,4.0,pid_stopgo,0.5,,,Gen11
10,empty|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(E6)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,,,,83.11620051132006,,,,,,1,1,1,,empty,,,,,,,,Gen11
11,empty|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(E7U3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,1.0,0.0,1.0,,174.28487685977692,,,,,,4,1,1,,empty,,,,,,,,Gen11
12,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,20260628_203215,20260623_103454,11,6:20260628_203215,0.0,,,,83.65242580052686,,,,,,1,1,1,,pillars,,,,,,,,Gen11
13,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE(12D_PID_with_anchor_P),20260628_203216,20260628_203216,1,6:20260628_203216,0.0,0.0,0.0,156.31617696962417,100.79324494802962,55.52293202159454,,,,,7,7,1,,pillars,,,,,,,,Gen11
14,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D,20260629_174035,20260629_173224,3,6:20260629_174035,0.0,0.0,0.0,112.52635427780515,90.79940943712528,21.726944840679874,,,,,7,7,1,,pillars,,,,,,,,Gen11
15,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D(pid_stop_go),20260629_152355,20260629_152355,1,6:20260629_152355,0.0,0.0,0.0,111.27316238175158,89.88850083415348,21.384661547598107,,,,,7,7,1,,pillars,,,,,,,,Gen11
16,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_Fix14)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260706_173205,20260706_142723,2,6:20260706_173205,0.0,0.0,0.0,1914.7127463519064,85.62699563686714,1829.085750715039,20.0,0.0,0.31538461538461543,2.6044383868743988,13,1,1,,pillars,,20.0,4.0,pid_stopgo,0.5,,,Gen11
17,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_mjpc_T0.5,20260702_150659,20260702_150659,1,6:20260702_150659,0.0,0.0,0.0,111.8828810819845,87.77423047312938,24.10865060885512,20.0,,,,7,1,1,,pillars,,20.0,4.0,mjpc,0.5,,,Gen11
