Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness
1,G,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,17.38357690392133,0.8990273001022899,0.10434545911242543,1.7141762350365055
2,B,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,20.608022560015534,0.5175123132645304,0.08014513130919747,1.588224547563918
3,D,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,20.608022560015534,0.5201762223903509,0.08143873935975315,1.5883077538556352
4,E,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,22.661679046149672,0.18116633460728215,0.03412038625748312,2.4085361145725104
5,F,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,21.6291674288225,0.18355172235159142,0.03940996003229357,2.5074953292357756
6,H,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,22.643279105543098,0.49301990236978027,0.2549327791624157,2.4068097078409467
7,J,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,19.353423618808907,0.18497272888690708,0.03721877171242713,1.8389672003426882
8,I,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,19.770345438439964,0.1503797588533413,0.02054704145278172,2.544093264181951
9,C,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,22.855010359277507,0.5470724177739555,0.07961086685574617,1.9345155993099927
10,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,19.75293052230288,0.29867651375087007,0.0390140998631715,1.4775133610502846
