Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Success (%),CollisionFree (%),Time (ms),MeanDist_m,MaxPhysErr_m,Robustness,Seeds,Missing_Seeds
1,5,H8_K100_Meuler_T0.5_Dmix_visual_aligning.models.visual_af_diffusion.VisualAlphaFlow_VTrue_mpc4_filmv1_Eaf,4.545454545454546,4.545454545454546,6.212121212121212,23.636363636363637,8660.73402161331,0.3554292545096951,0.3651081650060274,0.045454545454545456,1,
2,10,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,2.0175438596491224,2.2346910882205253,2.543859649122807,49.3859649122807,62.25000586188448,0.3425429548896278,0.24093869723248904,0.022346910882205254,1,
3,6,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_af_diffusion.VisualAlphaFlow_VTrue_mpc4_filmv1_Eaf,0.43859649122807026,1.1267747876022043,1.1403508771929824,44.82456140350877,62.77419995583985,0.36452937746935826,0.21966093944777781,0.011267747876022043,1,
4,1,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,0.0,0.0,0.0,0.0,629.6937705907557,0.5895195093798459,0.6788244614498989,0.0,1,
5,2,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,0.0,0.0,0.0,50.0,5327.69178222451,0.764846573942751,0.5313127566520887,0.0,1,
6,3,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,0.0,0.0,0.0,11.666666666666666,3641.7467581755236,0.6095402022384283,0.6721106977185581,0.0,1,
7,4,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,0.0,0.0,0.0,24.84848484848485,1736.3314107496005,0.3275643479193589,0.700641927107344,0.0,1,
8,7,H8_K100_T0.5_Dmix_visual_aligning.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_mpc4_filmv1_Ediffusion,0.0,0.0,0.0,29.122807017543863,5021.109460318298,0.31859264453800384,0.593102607150294,0.0,1,
9,8,H8_K100_Meuler_T0.5_Dmix_visual_aligning.models.visual_fm_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1_Efm,0.0,0.0,0.0,11.818181818181818,4563.145604738684,0.38052127541471714,1.2250996114397945,0.0,1,
10,9,H8_K100_Meuler_T0.5_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,0.0,0.0,1.6666666666666667,19.090909090909093,7940.672715261142,0.3395062073198758,0.3033829677836078,0.0,1,
11,11,H8_K20_T0.5_Ddiffuser_visual_aligning.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps400_mpc4_filmv2,0.0,0.0,0.0,21.943371943371943,1008.1121714224075,0.38814042716299296,1.582597688982764,0.0,1,
