Candidate,Display,Eval_Tag,scene,engine,engine_label,K,mpc_batch,controller,threshold,run_tag,backbone,data_proportion,alpha_init,alpha_end,train_K,horizon,diffusion_cls,model_name,generation,Seeds,N_Seeds,Missing_Seeds,CB_Sentinels,Latest_Snapshot,Snapshot_By_Seed,Full_Path
1,corridor|Gen11,H8_Dmodels.diffusion.FlowMatchingODE_condp_des,corridor,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,20260628_142052,6:20260628_142052,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des
2,corridor|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,corridor,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260702_053207,6:20260702_053207,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
3,corridor|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,corridor,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E6)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
4,corridor|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,corridor,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U1)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
5,corridor|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,corridor,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
6,corridor|Gen11,H8_Dmodels.diffusion.FlowMatchingODE_condp_des,corridor,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,20260628_100859,6:20260628_100859,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(E7_U4_fix3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des
7,corridor|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,corridor,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260708_161114,6:20260708_161114,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
8,empty|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,empty,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,20260628_191449,6:20260628_191449,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
9,empty|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,empty,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260703_093241,6:20260703_093241,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
10,empty|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,empty,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(E6)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
