Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
1,9,empty|K20|Gen11,empty,,20.0,0.0,20.0,100.0,0.0,100.0,,,,117.3891555241828,92.2148035307057,25.174351993477124,1.0,0.0,,,0.13164792296539168,,1,,20260703_093241
2,11,empty|Gen11,empty,,,0.0,,100.0,0.0,100.0,,,,,174.28487685977692,,,0.0,,,0.009776622359659636,,1,,
3,27,s_curve|Gen11,s_curve,,,0.0,,100.0,,100.0,,,,,83.30777564696092,,,,,,0.006823517912392289,,1,,
4,30,corridor|af|K1|bbunet|@EPlatest_u7hg,corridor,af,1.0,0.0,1.0,100.0,0.0,100.0,100.0,100.0,100.0,76.71235802895073,9.492127225505998,67.22023080344472,0.39587093922826466,0.0,0.29040806833492316,255.53000000000003,0.535598076521202,FRONT,1,,20260907_071511
5,8,empty|Gen11,empty,,,0.0,,85.71428571428571,34.99271061118826,85.71428571428571,,,,154.44229529043545,99.5089190432516,54.93337624718383,1.0,0.0,,,0.004970603190626932,,1,,20260628_191449
6,80,pillars|fm|K1|@u7hg,pillars,fm,1.0,0.0,1.0,80.0,7.745966692414837,80.0,100.0,86.00000000000001,100.0,38.68164594599246,8.953994774836413,29.727651171156054,0.15362833186529726,0.0,0.3474117379815995,425.9505952380952,0.4254873583676099,FRONT,1,,20260918_135530
7,42,corridor|fm|K20,corridor,fm,20.0,0.0,29.09090909090909,63.91304347826087,45.94317193293232,64.34782608695653,65.21739130434783,63.91304347826087,65.21739130434783,459.98076368308324,185.6915345125434,274.28922917054,1.0,0.0,4.088771173585625,269.38,54.54394732536205,,1,,20260819_232044
8,105,pillars|mf|K5|bbunet|dp0.5|@u7hg,pillars,mf,5.0,0.0,13.235294117647058,63.52941176470589,25.423744452910952,63.52941176470589,90.58823529411765,64.70588235294117,90.58823529411765,749.9869208577928,53.680520448495535,696.3064004092971,1.0,0.0,0.4551569320554589,401.28225957049483,0.4292786669570855,,1,,20260908_105040
9,31,corridor|af|K2|bbunet|@EPlatest_u7hg,corridor,af,2.0,0.0,2.0,55.55555555555556,49.69039949999533,100.0,100.0,55.55555555555556,100.0,95.64881385944688,18.353519714964378,77.29529414448251,0.5594303432471097,0.0,0.2914226218693844,258.91111111111115,0.5279002583700607,,1,,20260911_221930
10,100,pillars|mf|K2|bbunet|dp0.5|@u7hga1,pillars,mf,2.0,0.0,8.2,53.99999999999999,24.16609194718914,53.99999999999999,100.0,53.99999999999999,100.0,106.93927528826339,26.815827539891398,80.123447748372,1.0,0.0,0.4277476970630832,427.96253968253967,0.3938100869704059,,1,,20260918_143346
