[2026-04-23T13:39:56.920565] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:57.405637] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:57.476194] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:57.546715] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:57.615361] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:57.689891] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:58.304412] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:58.458101] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:58.565265] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:58.671353] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:58.928958] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:59.000103] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:59.068279] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:59.129840] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:59.188654] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:39:59.243300] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.102074] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.205614] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.275270] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.341420] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.503809] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.577703] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.643112] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.707018] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.764934] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:00.821418] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.002892] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.087657] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.160273] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.231242] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.397485] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.467191] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.537323] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.594756] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.651768] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:01.727975] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.023599] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.485975] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.552767] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.619364] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.792753] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:02.878533] loop_idx=1, backend=torchdiffeq, method=rk4
