model,config,backbone,arm,n_blocks,n_episodes,sc4,sc1,sc4_rate,sc1_rate,sc4_ci,sc1_ci,d_episodes,d_ci_lo,d_ci_hi,p_wilcoxon,p_sign,steps4,steps1,d_steps,p_steps,ms4,ms1,cost_ratio,p_cost
DPCC Gen0,K20/aw10,UNet,diffuser,15,30,3,3,0.1,0.1,"[0.035,0.256]","[0.035,0.256]",0,0.0,0.0,1.0,1.0,67.77,67.77,0.0,1.0,179.34,175.44,1.022,6e-05
DPCC Gen0,K20/aw10,UNet,model_free,15,30,1,1,0.0333,0.0333,"[0.006,0.167]","[0.006,0.167]",0,0.0,0.0,1.0,1.0,67.43,67.03,-0.4,0.5,262.01,198.65,1.319,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-r,15,30,8,7,0.2667,0.2333,"[0.142,0.444]","[0.118,0.409]",-1,-4.0,2.0,1.0,1.0,75.67,74.0,-1.67,0.46509,488.3,260.8,1.872,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-c,15,30,18,7,0.6,0.2333,"[0.423,0.754]","[0.118,0.409]",-11,-18.0,-4.0,0.02344,0.03906,71.47,74.0,2.53,0.58984,453.71,261.0,1.738,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-t,15,30,20,7,0.6667,0.2333,"[0.488,0.808]","[0.118,0.409]",-13,-21.0,-4.0,0.01562,0.06543,73.83,74.0,0.17,0.79291,473.44,260.56,1.817,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-r-tightened,15,30,29,28,0.9667,0.9333,"[0.833,0.994]","[0.787,0.982]",-1,-4.0,2.0,1.0,1.0,74.67,76.3,1.63,0.22559,573.24,291.31,1.968,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-c-tightened,15,30,30,28,1.0,0.9333,"[0.886,1.000]","[0.787,0.982]",-2,-5.0,0.0,0.5,0.5,70.13,76.3,6.17,0.01459,553.38,291.14,1.901,6e-05
DPCC Gen0,K20/aw10,UNet,dpcc-t-tightened,15,30,30,28,1.0,0.9333,"[0.886,1.000]","[0.787,0.982]",-2,-5.0,0.0,0.5,0.5,76.13,76.3,0.17,0.55206,563.01,291.43,1.932,6e-05
AlphaFlow,K2/A0.5,SiT,diffuser,15,30,8,8,0.2667,0.2667,"[0.142,0.444]","[0.142,0.444]",0,0.0,0.0,1.0,1.0,62.8,62.8,0.0,1.0,11.93,11.15,1.07,6e-05
AlphaFlow,K2/A0.5,SiT,dpcc-r,15,30,22,22,0.7333,0.7333,"[0.556,0.858]","[0.556,0.858]",0,0.0,0.0,1.0,1.0,73.67,73.47,-0.2,1.0,33.07,16.46,2.009,6e-05
AlphaFlow,K2/A0.5,SiT,dpcc-c,15,30,5,22,0.1667,0.7333,"[0.073,0.336]","[0.556,0.858]",17,10.0,23.0,0.00195,0.00342,182.57,73.47,-109.1,6e-05,18.66,16.45,1.134,0.00836
